,id,localidade,IAP,IDH,PIB,GINI,CLASS,denuncias
x40,150275,Concórdia do Pará,0.3374821867256964,-0.2500034634399197,-0.45693201945496076,-0.20396117575131423,3,10
x41,150276,Cumaru do Norte,1.395418154614277,-0.517723552817668,1.0137110662812332,1.4705452438880622,1,0
x42,150277,Curionópolis,0.3374821867256964,0.9535455948356467,1.8905199701913757,-0.6508373064444771,1,5
x43,150280,Curralinho,-1.3899782178749143,-1.4711298483814719,-1.1612271010375588,-0.6508373064444771,3,14
x44,150285,Curuá,0.009898072981534015,-0.08832777795737361,-0.39086951563046374,1.4705452438880622,2,2
x45,150290,Curuçá,-1.3899782178749143,-0.012660076940314008,-1.332324422320661,-0.20396117575131423,3,13
x46,150293,Dom Eliseu,0.009898072981534015,0.6985257103450605,0.0655948100033045,-0.20396117575131423,2,4
x47,150295,Eldorado do Carajás,-0.18936960178047132,-0.3931021616736824,0.29766933194685025,-1.0517172529984826,3,5
x48,150300,Faro,-1.3899782178749143,-0.3219708901819884,-0.6056907889232116,-0.6508373064444771,3,0
x49,150304,Floresta do Araguaia,0.009898072981534015,0.02488550311706342,0.3763263266247551,0.2429026558860896,2,1
x50,150307,Garrafão do Norte,0.3374821867256964,-0.9859472039535683,-0.5416440457343273,0.6045853465832371,3,4
x51,150309,Goianésia do Pará,-1.3899782178749143,-0.3931021616736824,-0.5157552750619329,-0.20396117575131423,3,3
x52,150310,Gurupá,0.3374821867256964,-1.2164605669458162,-0.558765250469268,-0.20396117575131423,3,6
x53,150320,Igarapé-Açu,0.009898072981534015,0.348755695517045,-0.43087805244480715,0.6045853465832371,2,10
x54,150330,Igarapé-Miri,-1.3899782178749143,-0.6352697098765964,-0.6470615234966506,-0.20396117575131423,3,16
x55,150340,Inhangapi,0.3374821867256964,-0.17745000830524024,-0.06659007316642435,1.4705452438880622,2,3
x56,150345,Ipixuna do Pará,-1.3899782178749143,-1.639976270133218,-0.38897763426879584,0.2429026558860896,3,4
x57,150350,Irituia,0.009898072981534015,-0.4178506199571618,-1.8240928287178853,0.2429026558860896,3,6
x58,150360,Itaituba,1.395418154614277,1.0299567622253682,0.8720868495199047,-1.4705452438880622,1,20
x59,150370,Itupiranga,0.3374821867256964,-0.9613197165146152,0.01931445271383316,0.2429026558860896,3,4
x60,150375,Jacareacanga,0.3374821867256964,-1.3278539211951115,1.9871079126086828,1.4705452438880622,1,0
x61,150380,Jacundá,0.3374821867256964,0.7647096737863871,-0.6655827292846832,-0.20396117575131423,2,6
x62,150390,Juruti,1.5915563484056177,0.24701054331715394,0.9289481729531123,-0.6508373064444771,1,5
x63,150400,Limoeiro do Ajuru,-1.3899782178749143,-0.8088444041133962,0.5053298981796477,1.4705452438880622,3,3
x64,150405,Mãe do Rio,0.8938074348664315,0.4367664924616709,-0.20926760156612093,-0.20396117575131423,2,15
x65,150410,Magalhães Barata,-0.6886512391544619,0.39866393514661336,-0.47827196714884584,0.967421566101701,3,0
x66,150420,Marabá,2.149556255327738,1.5140418080574354,1.6796278123214226,-1.4705452438880622,0,106
x67,150430,Maracanã,0.3374821867256964,-0.19608582502158148,-0.9006024469265341,-0.20396117575131423,3,10
x68,150440,Marapanim,0.009898072981534015,0.6352697098765966,-0.8718186709900424,0.967421566101701,2,10
x69,150442,Marituba,0.8938074348664315,1.8834269552345257,0.51620614513781,0.6045853465832371,1,48
x70,150445,Medicilândia,0.009898072981534015,-0.012660076940314008,0.9075663413953473,0.2429026558860896,2,1
x71,150450,Melgaço,0.009898072981534015,-2.335964602222785,-2.1134285903883736,5.19933758270342,3,8
x72,150460,Mocajuba,0.009898072981534015,-0.1427514437549462,0.26001578412885173,-1.7460165226992128,2,2
x73,150470,Moju,-1.3899782178749143,-0.6352697098765964,0.09515050622658876,0.2429026558860896,3,16
x74,150480,Monte Alegre,0.009898072981534015,-5.199337582605575,-0.018641185710635444,-0.6508373064444771,3,8
